Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text
adidas-climalite-pique-polo,Climalite pique polo,"<div>Rib collar, 3-button placket, set in sleeves, open hem, drop tail, contrast HT adi logo at CB neck</div>",Adidas,REPLACE,"New for 2013, Polos, Seasonal Gifts, Sports, Father's Day, Golf",FALSE,Size,2XL,Color,Black,,,AD007BLAC2XL,,,1,deny,manual,17.01,17.01,TRUE,TRUE,,http://www.promotional-store.com/images/thumbs/0096213_330.jpeg,Adidas Climalite pique polo
adidas-climalite-pique-polo,,,,,,,Size,L,Color,Black,,,AD007BLACL,,,1,deny,manual,17.01,17.01,TRUE,TRUE,,,
adidas-climalite-pique-polo,,,,,,,Size,2XL,Color,Coast (Light Blue),,,AD007COAS2XL,,,1,deny,manual,17.01,17.01,TRUE,TRUE,,,
adidas-climalite-pique-polo,,,,,,,Size,L,Color,Coast (Light Blue),,,AD007COASL,,,1,deny,manual,17.01,17.01,TRUE,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
